date,month,is_weekend,num_appliances_used,peak_hour_usage,off_peak_usage,daily_kwh,monthly_kwh,monthly_bill,usage_label
27-01-2019,1,1,7,3.856,2.438,8.252,243.79,1587.13,0
28-01-2019,1,0,5,3.633,2.855,8.497,243.79,1587.13,1
29-01-2019,1,0,4,2.731,2.566,7.219,243.79,1587.13,0
30-01-2019,1,0,5,3.331,2.281,7.25,243.79,1587.13,0
31-01-2019,1,0,5,2.747,2.832,7.516,243.79,1587.13,0
01-02-2019,2,0,5,3.543,2.272,7.292,201.65,1331.78,0
02-02-2019,2,1,5,4.423,2.15,8.322,201.65,1331.78,1
03-02-2019,2,1,7,4.643,2.574,8.635,201.65,1331.78,1
04-02-2019,2,0,4,3.513,2.595,7.185,201.65,1331.78,0
05-02-2019,2,0,4,3.726,2.585,8.157,201.65,1331.78,0
06-02-2019,2,0,4,2.63,2.243,6.883,201.65,1331.78,0
07-02-2019,2,0,5,2.935,2.275,7.7,201.65,1331.78,0
08-02-2019,2,0,5,3.609,2.347,7.562,201.65,1331.78,0
09-02-2019,2,1,7,4.802,2.593,8.476,201.65,1331.78,1
10-02-2019,2,1,5,3.78,2.22,7.369,201.65,1331.78,0
11-02-2019,2,0,5,2.952,2.352,6.75,201.65,1331.78,0
12-02-2019,2,0,4,2.839,1.728,6.126,201.65,1331.78,0
13-02-2019,2,0,4,2.458,2.224,6.37,201.65,1331.78,0
14-02-2019,2,0,4,2.591,2.343,6.579,201.65,1331.78,0
15-02-2019,2,0,5,2.751,2.153,6.715,201.65,1331.78,0
16-02-2019,2,1,4,3.782,2.171,7.532,201.65,1331.78,0
17-02-2019,2,1,6,4.308,2.067,6.985,201.65,1331.78,0
18-02-2019,2,0,5,3.423,1.925,6.939,201.65,1331.78,0
19-02-2019,2,0,5,3.047,2.363,6.945,201.65,1331.78,0
20-02-2019,2,0,4,2.906,1.981,6.607,201.65,1331.78,0
21-02-2019,2,0,4,3.149,1.667,6.171,201.65,1331.78,0
22-02-2019,2,0,5,2.652,1.966,6.207,201.65,1331.78,0
23-02-2019,2,1,7,4.734,2.21,8.666,201.65,1331.78,1
24-02-2019,2,1,5,4.564,2.532,8.532,201.65,1331.78,1
25-02-2019,2,0,5,3,2.354,7.124,201.65,1331.78,0
26-02-2019,2,0,4,2.941,1.939,6.408,201.65,1331.78,0
27-02-2019,2,0,4,3.597,2.024,7.184,201.65,1331.78,0
28-02-2019,2,0,5,3.201,2.694,6.226,201.65,1331.78,0
01-03-2019,3,0,4,3.335,2.481,6.858,229.64,1462.81,0
02-03-2019,3,1,5,4.013,1.965,7.022,229.64,1462.81,0
03-03-2019,3,1,6,4.823,2.749,9.159,229.64,1462.81,1
04-03-2019,3,0,4,3.296,2.176,7.481,229.64,1462.81,0
05-03-2019,3,0,4,3.319,2.44,7.212,229.64,1462.81,0
06-03-2019,3,0,4,3.327,2.151,7.317,229.64,1462.81,0
07-03-2019,3,0,5,3.028,2.656,7.443,229.64,1462.81,0
08-03-2019,3,0,5,3.065,1.952,6.573,229.64,1462.81,0
09-03-2019,3,1,5,4.358,2.223,8.311,229.64,1462.81,0
10-03-2019,3,1,6,4.251,2.765,8.614,229.64,1462.81,1
11-03-2019,3,0,5,2.779,1.582,5.804,229.64,1462.81,0
12-03-2019,3,0,5,3.999,2.286,7.941,229.64,1462.81,0
13-03-2019,3,0,4,3.491,2.082,7.652,229.64,1462.81,0
14-03-2019,3,0,4,3.115,2.405,7.209,229.64,1462.81,0
15-03-2019,3,0,5,3.141,2.621,7.349,229.64,1462.81,0
16-03-2019,3,1,6,4.279,2.619,8.047,229.64,1462.81,0
17-03-2019,3,1,6,4.407,2.472,8.945,229.64,1462.81,1
18-03-2019,3,0,4,2.287,2.212,5.436,229.64,1462.81,0
19-03-2019,3,0,4,3.945,2.097,6.86,229.64,1462.81,0
20-03-2019,3,0,4,2.784,2.263,6.696,229.64,1462.81,0
21-03-2019,3,0,5,3.249,2.738,7.135,229.64,1462.81,0
22-03-2019,3,0,4,3.114,1.951,7.001,229.64,1462.81,0
23-03-2019,3,1,6,4.999,2.279,8.105,229.64,1462.81,0
24-03-2019,3,1,4,3.865,2.177,7.927,229.64,1462.81,0
25-03-2019,3,0,5,3.885,2.6,8.313,229.64,1462.81,0
26-03-2019,3,0,5,3.413,2.367,7.327,229.64,1462.81,0
27-03-2019,3,0,5,2.865,2.595,6.12,229.64,1462.81,0
28-03-2019,3,0,4,3.154,2.51,6.475,229.64,1462.81,0
29-03-2019,3,0,5,3.203,2.478,7.277,229.64,1462.81,0
30-03-2019,3,1,6,3.766,2.081,7.254,229.64,1462.81,0
31-03-2019,3,1,5,4.193,2.798,8.782,229.64,1462.81,1
01-04-2019,4,0,6,4.609,2.824,8.906,260.64,1688.84,1
02-04-2019,4,0,5,4.673,2.319,8.43,260.64,1688.84,1
03-04-2019,4,0,6,4.677,1.985,7.191,260.64,1688.84,0
04-04-2019,4,0,6,4.34,1.932,8.101,260.64,1688.84,0
05-04-2019,4,0,5,4.757,2.376,8.373,260.64,1688.84,1
06-04-2019,4,1,8,5.45,2.389,9.18,260.64,1688.84,1
07-04-2019,4,1,8,4.46,2.085,7.617,260.64,1688.84,0
08-04-2019,4,0,5,4.501,1.826,7.211,260.64,1688.84,0
09-04-2019,4,0,7,4.528,2.359,8.976,260.64,1688.84,1
10-04-2019,4,0,5,4.603,2.358,8.779,260.64,1688.84,1
11-04-2019,4,0,6,5.4,2.822,10.047,260.64,1688.84,1
12-04-2019,4,0,7,5.561,2.645,9.619,260.64,1688.84,1
13-04-2019,4,1,7,5.484,2.386,8.675,260.64,1688.84,1
14-04-2019,4,1,7,5.219,2.614,10.174,260.64,1688.84,1
15-04-2019,4,0,6,4.834,2.487,8.99,260.64,1688.84,1
16-04-2019,4,0,6,4.452,2.622,8.629,260.64,1688.84,1
17-04-2019,4,0,5,4.607,2.288,8.251,260.64,1688.84,0
18-04-2019,4,0,6,4.336,2.711,7.729,260.64,1688.84,0
19-04-2019,4,0,6,4.7,2.647,9.304,260.64,1688.84,1
20-04-2019,4,1,7,5.225,2.525,8.827,260.64,1688.84,1
21-04-2019,4,1,6,5.874,2.364,9.957,260.64,1688.84,1
22-04-2019,4,0,7,4.514,2.776,9.098,260.64,1688.84,1
23-04-2019,4,0,6,4.864,2.186,8.684,260.64,1688.84,1
24-04-2019,4,0,7,4.244,2.048,7.98,260.64,1688.84,0
25-04-2019,4,0,6,4.912,1.946,8.896,260.64,1688.84,1
26-04-2019,4,0,6,4.213,2.161,7.557,260.64,1688.84,0
27-04-2019,4,1,6,5.504,2.598,9.668,260.64,1688.84,1
28-04-2019,4,1,8,6.109,2.473,9.992,260.64,1688.84,1
29-04-2019,4,0,6,4.52,2.461,7.745,260.64,1688.84,0
30-04-2019,4,0,6,4.188,2.251,8.054,260.64,1688.84,0
01-05-2019,5,0,7,4.949,2.354,9.304,275.18,1859.22,1
02-05-2019,5,0,7,4.414,2.192,8.657,275.18,1859.22,1
03-05-2019,5,0,7,4.588,2.472,9.303,275.18,1859.22,1
04-05-2019,5,1,7,5.656,2.447,8.894,275.18,1859.22,1
05-05-2019,5,1,5,5.794,2.424,10.369,275.18,1859.22,1
06-05-2019,5,0,6,4.611,2.486,8.671,275.18,1859.22,1
07-05-2019,5,0,6,4.609,2.341,9.09,275.18,1859.22,1
08-05-2019,5,0,5,4.745,1.848,7.935,275.18,1859.22,0
09-05-2019,5,0,5,4.47,2.621,8.379,275.18,1859.22,1
10-05-2019,5,0,6,4.854,2.374,8.242,275.18,1859.22,0
11-05-2019,5,1,8,6.131,2.624,10.565,275.18,1859.22,1
12-05-2019,5,1,6,5.269,2.88,9.855,275.18,1859.22,1
13-05-2019,5,0,6,3.29,2.672,7.015,275.18,1859.22,0
14-05-2019,5,0,6,4.273,2.534,7.441,275.18,1859.22,0
15-05-2019,5,0,7,5.233,2.499,9.398,275.18,1859.22,1
16-05-2019,5,0,7,4.736,2.497,8.945,275.18,1859.22,1
17-05-2019,5,0,6,4.464,2.472,8.041,275.18,1859.22,0
18-05-2019,5,1,8,6.167,2.722,9.914,275.18,1859.22,1
19-05-2019,5,1,7,5.509,3.013,10.284,275.18,1859.22,1
20-05-2019,5,0,6,3.763,3.142,9.148,275.18,1859.22,1
21-05-2019,5,0,7,4.148,2.587,8.037,275.18,1859.22,0
22-05-2019,5,0,7,4.917,1.854,7.919,275.18,1859.22,0
23-05-2019,5,0,7,4.723,2.214,8.557,275.18,1859.22,1
24-05-2019,5,0,5,5.032,2.843,9.629,275.18,1859.22,1
25-05-2019,5,1,7,5.257,2.716,9.327,275.18,1859.22,1
26-05-2019,5,1,9,5.726,2.828,10.864,275.18,1859.22,1
27-05-2019,5,0,5,4.096,2.25,8.207,275.18,1859.22,0
28-05-2019,5,0,6,4.392,2.043,7.782,275.18,1859.22,0
29-05-2019,5,0,7,3.993,3.003,7.859,275.18,1859.22,0
30-05-2019,5,0,6,4.446,2.153,8.627,275.18,1859.22,1
31-05-2019,5,0,5,4.429,2.519,8.925,275.18,1859.22,1
01-06-2019,6,1,7,5.495,2.11,8.984,265.92,1831.95,1
02-06-2019,6,1,7,6.41,2.435,10.485,265.92,1831.95,1
03-06-2019,6,0,6,5.333,2.698,9.471,265.92,1831.95,1
04-06-2019,6,0,6,4.3,2.325,8.333,265.92,1831.95,1
05-06-2019,6,0,6,3.782,2.289,7.161,265.92,1831.95,0
06-06-2019,6,0,6,4.56,2.403,7.996,265.92,1831.95,0
07-06-2019,6,0,5,4.601,1.899,8.324,265.92,1831.95,1
08-06-2019,6,1,6,5.056,1.943,8.874,265.92,1831.95,1
09-06-2019,6,1,8,5.376,2.814,9.494,265.92,1831.95,1
10-06-2019,6,0,6,5.233,2.273,8.706,265.92,1831.95,1
11-06-2019,6,0,7,4.647,2.712,9.318,265.92,1831.95,1
12-06-2019,6,0,6,4.865,2.735,8.814,265.92,1831.95,1
13-06-2019,6,0,7,4.378,2.86,8.76,265.92,1831.95,1
14-06-2019,6,0,6,4.577,1.914,7.962,265.92,1831.95,0
15-06-2019,6,1,9,5.715,2.491,9.119,265.92,1831.95,1
16-06-2019,6,1,7,5.28,2.661,9.518,265.92,1831.95,1
17-06-2019,6,0,6,5.062,2.566,9.166,265.92,1831.95,1
18-06-2019,6,0,7,4.194,3.175,9.013,265.92,1831.95,1
19-06-2019,6,0,7,4.87,2.228,8.661,265.92,1831.95,1
20-06-2019,6,0,6,4.458,2.75,9.562,265.92,1831.95,1
21-06-2019,6,0,5,4.616,2.412,8.993,265.92,1831.95,1
22-06-2019,6,1,6,5.263,1.908,8.687,265.92,1831.95,1
23-06-2019,6,1,6,5.747,2.236,9.535,265.92,1831.95,1
24-06-2019,6,0,6,4.224,2.479,8.908,265.92,1831.95,1
25-06-2019,6,0,7,5.213,1.989,9.047,265.92,1831.95,1
26-06-2019,6,0,6,4.588,1.778,7.374,265.92,1831.95,0
27-06-2019,6,0,6,4.069,1.872,7.821,265.92,1831.95,0
28-06-2019,6,0,6,4.872,2.478,9.347,265.92,1831.95,1
29-06-2019,6,1,5,5.17,2.155,9.472,265.92,1831.95,1
30-06-2019,6,1,9,5.167,2.514,9.02,265.92,1831.95,1
01-07-2019,7,0,5,3.383,2.124,6.817,224.71,1488.8,0
02-07-2019,7,0,5,3.653,1.873,6.649,224.71,1488.8,0
03-07-2019,7,0,5,3.763,2.163,7.549,224.71,1488.8,0
04-07-2019,7,0,5,3.099,1.754,6.646,224.71,1488.8,0
05-07-2019,7,0,5,3.308,2.656,7.259,224.71,1488.8,0
06-07-2019,7,1,5,4.07,2.808,8.321,224.71,1488.8,1
07-07-2019,7,1,4,4.496,1.502,6.677,224.71,1488.8,0
08-07-2019,7,0,4,2.776,2.059,6.939,224.71,1488.8,0
09-07-2019,7,0,4,2.914,2.079,5.867,224.71,1488.8,0
10-07-2019,7,0,4,2.766,2.148,6.564,224.71,1488.8,0
11-07-2019,7,0,4,2.52,2.5,6.615,224.71,1488.8,0
12-07-2019,7,0,5,3.349,2.16,7.027,224.71,1488.8,0
13-07-2019,7,1,5,4.691,2.274,8.493,224.71,1488.8,1
14-07-2019,7,1,6,4.121,3.294,8.51,224.71,1488.8,1
15-07-2019,7,0,5,2.897,2.267,6.533,224.71,1488.8,0
16-07-2019,7,0,5,3.325,2.83,8.043,224.71,1488.8,0
17-07-2019,7,0,5,3.486,2.451,7.943,224.71,1488.8,0
18-07-2019,7,0,4,3.037,2.034,6.403,224.71,1488.8,0
19-07-2019,7,0,5,3.811,2.084,6.771,224.71,1488.8,0
20-07-2019,7,1,5,3.725,2.298,7.212,224.71,1488.8,0
21-07-2019,7,1,5,3.935,1.962,8.138,224.71,1488.8,0
22-07-2019,7,0,5,3.368,2.041,6.621,224.71,1488.8,0
23-07-2019,7,0,5,3.407,2.173,7.041,224.71,1488.8,0
24-07-2019,7,0,5,3.269,2.388,7.723,224.71,1488.8,0
25-07-2019,7,0,5,2.739,2.848,6.876,224.71,1488.8,0
26-07-2019,7,0,5,4.185,2.155,7.774,224.71,1488.8,0
27-07-2019,7,1,5,3.956,2.438,8.212,224.71,1488.8,0
28-07-2019,7,1,6,4.244,1.912,8.341,224.71,1488.8,1
29-07-2019,7,0,4,3.347,2.518,7.107,224.71,1488.8,0
30-07-2019,7,0,5,2.995,1.783,6.835,224.71,1488.8,0
31-07-2019,7,0,5,3.273,2.54,7.2,224.71,1488.8,0
01-08-2019,8,0,4,2.829,2.176,6.151,224.43,1534.25,0
02-08-2019,8,0,5,3.416,2.264,7.28,224.43,1534.25,0
03-08-2019,8,1,6,4.09,2.31,7.437,224.43,1534.25,0
04-08-2019,8,1,4,4.007,1.81,7.506,224.43,1534.25,0
05-08-2019,8,0,5,2.831,1.926,7.517,224.43,1534.25,0
06-08-2019,8,0,5,2.918,2.551,7.411,224.43,1534.25,0
07-08-2019,8,0,5,2.704,2.304,6.466,224.43,1534.25,0
08-08-2019,8,0,5,2.966,2.208,7.095,224.43,1534.25,0
09-08-2019,8,0,5,2.221,2.433,5.781,224.43,1534.25,0
10-08-2019,8,1,6,4.077,2.43,7.702,224.43,1534.25,0
11-08-2019,8,1,5,3.836,2.062,7.367,224.43,1534.25,0
12-08-2019,8,0,5,3.31,3.038,7.883,224.43,1534.25,0
13-08-2019,8,0,5,3.268,2.522,6.773,224.43,1534.25,0
14-08-2019,8,0,4,3.603,2.238,7.218,224.43,1534.25,0
15-08-2019,8,0,4,4.138,2.046,7.626,224.43,1534.25,0
16-08-2019,8,0,5,3.705,2.586,8.408,224.43,1534.25,1
17-08-2019,8,1,6,4.019,2.164,7.166,224.43,1534.25,0
18-08-2019,8,1,6,4.003,2.138,7.087,224.43,1534.25,0
19-08-2019,8,0,5,3.597,2.808,7.975,224.43,1534.25,0
20-08-2019,8,0,4,2.427,2.209,6.596,224.43,1534.25,0
21-08-2019,8,0,5,3.124,2.071,6.916,224.43,1534.25,0
22-08-2019,8,0,5,3.155,2.302,7.078,224.43,1534.25,0
23-08-2019,8,0,4,3.334,2.455,7.174,224.43,1534.25,0
24-08-2019,8,1,4,4.146,2.386,8.302,224.43,1534.25,0
25-08-2019,8,1,5,3.752,2.592,8.175,224.43,1534.25,0
26-08-2019,8,0,4,2.934,1.825,6.156,224.43,1534.25,0
27-08-2019,8,0,5,3.428,2.585,7.134,224.43,1534.25,0
28-08-2019,8,0,4,2.78,2.146,6.049,224.43,1534.25,0
29-08-2019,8,0,4,3.582,2.227,7.66,224.43,1534.25,0
30-08-2019,8,0,4,3.344,2.563,6.789,224.43,1534.25,0
31-08-2019,8,1,4,3.969,2.411,8.551,224.43,1534.25,1
01-09-2019,9,1,6,4.356,2.505,8.179,204.63,1383.7,0
02-09-2019,9,0,5,3.063,1.705,6.392,204.63,1383.7,0
03-09-2019,9,0,4,2.849,2.186,6.816,204.63,1383.7,0
04-09-2019,9,0,5,3.08,2.065,6.372,204.63,1383.7,0
05-09-2019,9,0,4,3.3,2.413,7.029,204.63,1383.7,0
06-09-2019,9,0,4,3.18,2.497,7.23,204.63,1383.7,0
07-09-2019,9,1,4,3.731,2.109,6.999,204.63,1383.7,0
08-09-2019,9,1,4,4.2,2,7.273,204.63,1383.7,0
09-09-2019,9,0,4,3.03,2.667,6.806,204.63,1383.7,0
10-09-2019,9,0,4,2.823,2.019,6.826,204.63,1383.7,0
11-09-2019,9,0,4,3.202,1.842,6.703,204.63,1383.7,0
12-09-2019,9,0,4,2.695,1.95,5.828,204.63,1383.7,0
13-09-2019,9,0,5,2.575,2.134,6.558,204.63,1383.7,0
14-09-2019,9,1,4,3.898,1.942,7.045,204.63,1383.7,0
15-09-2019,9,1,7,4.087,2.754,7.561,204.63,1383.7,0
16-09-2019,9,0,4,2.998,1.541,6.318,204.63,1383.7,0
17-09-2019,9,0,5,2.863,2.035,7.056,204.63,1383.7,0
18-09-2019,9,0,4,3.584,2.186,7.493,204.63,1383.7,0
19-09-2019,9,0,4,2.835,2.263,5.843,204.63,1383.7,0
20-09-2019,9,0,4,2.927,2.708,7.126,204.63,1383.7,0
21-09-2019,9,1,5,4.201,2.764,8.355,204.63,1383.7,1
22-09-2019,9,1,5,3.499,1.82,6.97,204.63,1383.7,0
23-09-2019,9,0,5,2.67,1.728,5.559,204.63,1383.7,0
24-09-2019,9,0,5,3.402,2.307,7.076,204.63,1383.7,0
25-09-2019,9,0,4,2.922,1.998,5.852,204.63,1383.7,0
26-09-2019,9,0,4,2.739,1.842,6.17,204.63,1383.7,0
27-09-2019,9,0,4,3.341,2.205,6.493,204.63,1383.7,0
28-09-2019,9,1,7,4.025,2.569,8.269,204.63,1383.7,0
29-09-2019,9,1,5,3.94,2.048,7.188,204.63,1383.7,0
30-09-2019,9,0,5,2.892,2.113,5.248,204.63,1383.7,0
01-10-2019,10,0,5,3.371,2.071,7.26,222.65,1444.14,0
02-10-2019,10,0,5,3.783,2.177,7.658,222.65,1444.14,0
03-10-2019,10,0,5,2.506,2.462,7.009,222.65,1444.14,0
04-10-2019,10,0,5,3.295,1.977,5.936,222.65,1444.14,0
05-10-2019,10,1,6,4.543,2.208,7.989,222.65,1444.14,0
06-10-2019,10,1,7,4.181,2.38,8.114,222.65,1444.14,0
07-10-2019,10,0,5,2.798,2.298,6.825,222.65,1444.14,0
08-10-2019,10,0,4,3.268,2.283,6.466,222.65,1444.14,0
09-10-2019,10,0,5,3.651,2.913,8.237,222.65,1444.14,0
10-10-2019,10,0,5,3.606,2.472,7.349,222.65,1444.14,0
11-10-2019,10,0,4,3.246,2.379,6.383,222.65,1444.14,0
12-10-2019,10,1,6,4.239,2.32,7.759,222.65,1444.14,0
13-10-2019,10,1,5,3.69,2.006,7.402,222.65,1444.14,0
14-10-2019,10,0,5,3.596,2.142,6.513,222.65,1444.14,0
15-10-2019,10,0,4,3.424,1.987,7.166,222.65,1444.14,0
16-10-2019,10,0,4,2.645,2.318,6.576,222.65,1444.14,0
17-10-2019,10,0,4,3.246,1.705,6.349,222.65,1444.14,0
18-10-2019,10,0,5,3.511,2.478,6.835,222.65,1444.14,0
19-10-2019,10,1,4,4.253,2.165,7.296,222.65,1444.14,0
20-10-2019,10,1,7,4.32,2.72,8.381,222.65,1444.14,1
21-10-2019,10,0,5,2.907,2.083,6.04,222.65,1444.14,0
22-10-2019,10,0,4,2.899,1.93,6.195,222.65,1444.14,0
23-10-2019,10,0,5,2.847,2.178,6.887,222.65,1444.14,0
24-10-2019,10,0,5,3.23,2.171,6.792,222.65,1444.14,0
25-10-2019,10,0,4,3.001,2.442,6.823,222.65,1444.14,0
26-10-2019,10,1,7,5.208,2.739,9.327,222.65,1444.14,1
27-10-2019,10,1,6,4.558,2.972,9.435,222.65,1444.14,1
28-10-2019,10,0,5,3.638,2.151,7.806,222.65,1444.14,0
29-10-2019,10,0,5,3.439,1.296,6.404,222.65,1444.14,0
30-10-2019,10,0,4,2.953,2.077,6.585,222.65,1444.14,0
31-10-2019,10,0,4,2.99,2.269,6.851,222.65,1444.14,0
01-11-2019,11,0,5,3.176,3.014,8.261,235.46,1498.5,0
02-11-2019,11,1,5,4.125,2.891,8.707,235.46,1498.5,1
03-11-2019,11,1,6,4.356,2.751,9.216,235.46,1498.5,1
04-11-2019,11,0,5,3.25,3.314,7.896,235.46,1498.5,0
05-11-2019,11,0,5,3.134,2.49,6.59,235.46,1498.5,0
06-11-2019,11,0,5,3.012,2.718,6.962,235.46,1498.5,0
07-11-2019,11,0,5,2.693,2.476,6.444,235.46,1498.5,0
08-11-2019,11,0,4,3.613,2.706,8.461,235.46,1498.5,1
09-11-2019,11,1,4,4.782,3.177,9.754,235.46,1498.5,1
10-11-2019,11,1,5,4.53,2.758,8.533,235.46,1498.5,1
11-11-2019,11,0,4,2.596,2.66,7.079,235.46,1498.5,0
12-11-2019,11,0,4,3.415,2.191,7.054,235.46,1498.5,0
13-11-2019,11,0,4,3.51,2.614,8.278,235.46,1498.5,0
14-11-2019,11,0,5,3.089,3.145,7.601,235.46,1498.5,0
15-11-2019,11,0,4,3.296,2.625,6.805,235.46,1498.5,0
16-11-2019,11,1,6,4.017,2.805,8.247,235.46,1498.5,0
17-11-2019,11,1,6,4.812,3.232,9.411,235.46,1498.5,1
18-11-2019,11,0,5,3.396,2.706,7.065,235.46,1498.5,0
19-11-2019,11,0,4,2.733,3.088,7.555,235.46,1498.5,0
20-11-2019,11,0,5,3.518,2.415,8.003,235.46,1498.5,0
21-11-2019,11,0,4,3.524,2.903,7.478,235.46,1498.5,0
22-11-2019,11,0,5,3.329,3.294,8.512,235.46,1498.5,1
23-11-2019,11,1,5,4.242,3.102,8.601,235.46,1498.5,1
24-11-2019,11,1,5,4.022,2.24,7.752,235.46,1498.5,0
25-11-2019,11,0,5,2.796,2.609,6.853,235.46,1498.5,0
26-11-2019,11,0,5,3.189,2.727,7.406,235.46,1498.5,0
27-11-2019,11,0,5,3.459,3.103,8.251,235.46,1498.5,0
28-11-2019,11,0,5,3.199,2.401,6.69,235.46,1498.5,0
29-11-2019,11,0,4,3.42,2.394,7.831,235.46,1498.5,0
30-11-2019,11,1,6,4.043,2.418,8.162,235.46,1498.5,0
01-12-2019,12,1,6,4.069,2.652,8.555,241.85,1513.95,1
02-12-2019,12,0,4,3.432,2.325,6.945,241.85,1513.95,0
03-12-2019,12,0,5,3.339,3.279,7.672,241.85,1513.95,0
04-12-2019,12,0,5,3.085,2.606,7.664,241.85,1513.95,0
05-12-2019,12,0,5,3.664,3.007,7.708,241.85,1513.95,0
06-12-2019,12,0,5,2.975,2.805,7.34,241.85,1513.95,0
07-12-2019,12,1,5,3.759,2.801,8.468,241.85,1513.95,1
08-12-2019,12,1,7,3.218,2.823,7.49,241.85,1513.95,0
09-12-2019,12,0,4,2.878,2.931,7.777,241.85,1513.95,0
10-12-2019,12,0,5,3.773,2.846,8.01,241.85,1513.95,0
11-12-2019,12,0,5,2.421,2.829,6.239,241.85,1513.95,0
12-12-2019,12,0,5,2.869,2.622,7.141,241.85,1513.95,0
13-12-2019,12,0,4,3.276,2.571,7.426,241.85,1513.95,0
14-12-2019,12,1,5,3.152,2.977,8.704,241.85,1513.95,1
15-12-2019,12,1,5,3.846,2.869,7.837,241.85,1513.95,0
16-12-2019,12,0,4,3.556,2.737,7.692,241.85,1513.95,0
17-12-2019,12,0,4,3.917,2.474,7.599,241.85,1513.95,0
18-12-2019,12,0,4,3.216,3.283,7.942,241.85,1513.95,0
19-12-2019,12,0,4,2.729,2.556,6.712,241.85,1513.95,0
20-12-2019,12,0,5,2.866,2.791,6.808,241.85,1513.95,0
21-12-2019,12,1,6,4.258,2.844,8.789,241.85,1513.95,1
22-12-2019,12,1,5,4.162,3.386,8.962,241.85,1513.95,1
23-12-2019,12,0,5,3.993,2.713,8.744,241.85,1513.95,1
24-12-2019,12,0,4,3.488,2.585,7.314,241.85,1513.95,0
25-12-2019,12,0,5,3.284,2.835,8.364,241.85,1513.95,1
26-12-2019,12,0,5,3.116,2.592,7.318,241.85,1513.95,0
27-12-2019,12,0,5,4.456,2.833,9.298,241.85,1513.95,1
28-12-2019,12,1,7,4.601,3.711,9.858,241.85,1513.95,1
29-12-2019,12,1,4,3.632,2.79,7.61,241.85,1513.95,0
30-12-2019,12,0,5,3.16,2.879,7.434,241.85,1513.95,0
31-12-2019,12,0,5,2.899,2.585,6.429,241.85,1513.95,0
01-01-2020,1,0,5,2.288,3.313,7.056,237.32,1591.7,0
02-01-2020,1,0,4,3.225,3.282,8.076,237.32,1591.7,0
03-01-2020,1,0,4,3.813,2.956,8.287,237.32,1591.7,0
04-01-2020,1,1,6,3.548,3.096,8.676,237.32,1591.7,1
05-01-2020,1,1,6,4.222,2.83,8.492,237.32,1591.7,1
06-01-2020,1,0,5,2.967,2.917,6.626,237.32,1591.7,0
07-01-2020,1,0,4,3.309,2.449,8.676,237.32,1591.7,1
08-01-2020,1,0,5,3.181,2.462,6.867,237.32,1591.7,0
09-01-2020,1,0,5,2.706,2.354,6.947,237.32,1591.7,0
10-01-2020,1,0,5,2.858,2.923,6.679,237.32,1591.7,0
11-01-2020,1,1,6,3.868,2.486,7.952,237.32,1591.7,0
12-01-2020,1,1,5,4.588,2.65,8.42,237.32,1591.7,1
13-01-2020,1,0,5,3.767,2.782,6.92,237.32,1591.7,0
14-01-2020,1,0,4,2.975,2.999,7.361,237.32,1591.7,0
15-01-2020,1,0,4,3.591,2.527,7.598,237.32,1591.7,0
16-01-2020,1,0,5,3.181,3.134,7.727,237.32,1591.7,0
17-01-2020,1,0,4,2.969,2.982,7.548,237.32,1591.7,0
18-01-2020,1,1,6,4.223,2.579,8.194,237.32,1591.7,0
19-01-2020,1,1,5,4.164,3.137,8.829,237.32,1591.7,1
20-01-2020,1,0,4,2.878,2.615,7.061,237.32,1591.7,0
